"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Corki","Middle",2,"4.4%","0.0%","4.4%","50%","100%",5,1,4,9,"60.0%","5.9%","0%",-351,293,2,11.1,"34.9%",476,"34.7%","29.6%",0.3,0.13
"Dr. Mundo","Jungle",1,"2.2%","0.0%","2.2%","0%","100%",5,2,2,3.5,"87.5%","11.8%","0%",-302,443,7,6,"16.4%",229,"18.5%","23.6%",0.34,0.25
"Draven","-",0,"0%","2.2%","2.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Ekko","Jungle",1,"2.2%","0.0%","8.9%","0%","100%",2,2,3,2.5,"100.0%","14.3%","0%",-289,-8,0,6.6,"19.4%",248,"20.5%","21.1%",0.63,0.3
"Ekko","Middle",3,"6.7%","0.0%","8.9%","100%","100%",13,7,28,5.9,"58.6%","16.7%","0%",-101,-52,-6.7,8.5,"23.9%",486,"19.2%","21.4%",0.36,0.2
"Evelynn","Jungle",1,"2.2%","0.0%","2.2%","0%","100%",3,6,8,1.8,"52.4%","20.7%","0%",-566,-653,-5,5.5,"17.7%",442,"19.3%","18.8%",0.45,0.06
"Ezreal","ADC",1,"2.2%","2.2%","4.4%","0%","100%",2,3,2,1.3,"80.0%","21.4%","100%",-450,-556,-6,8.6,"28.9%",378,"31.6%","25.6%",0.39,0.18
"Fiddlesticks","-",0,"0%","2.2%","2.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Galio","Middle",1,"2.2%","6.7%","20.0%","0%","100%",1,6,7,1.3,"80.0%","25.0%","0%",-238,-152,-12,6.6,"15.8%",489,"23.0%","17.4%",0.47,0.07
"Galio","Support",5,"11.1%","6.7%","20.0%","40%","60%",7,18,38,2.5,"77.6%","22.5%","40%",-139,-264,-2.6,1.2,"3.3%",180,"9.8%","9.0%",1.54,0.29
"Gangplank","Top",3,"6.7%","15.6%","22.2%","67%","67%",7,7,17,3.4,"64.9%","29.2%","67%",202,-182,3,9,"26.9%",676,"35.2%","26.6%",0.46,0.12
"Gnar","Top",8,"17.8%","11.1%","28.9%","13%","63%",20,26,33,2,"59.6%","16.0%","13%",-185,40,-6.8,7.2,"22.5%",470,"24.6%","21.8%",0.51,0.17
"Gragas","Jungle",1,"2.2%","35.6%","75.6%","0%","100%",0,3,2,0.7,"50.0%","23.1%","100%",-136,538,11,5.7,"12.4%",253,"23.4%","15.7%",0.67,0.34
"Gragas","Support",3,"6.7%","35.6%","75.6%","33%","100%",5,11,17,2,"57.9%","19.6%","33%",96,-187,1,1.2,"3.3%",255,"13.3%","9.1%",1.72,0.44
"Gragas","Top",14,"31.1%","35.6%","75.6%","29%","50%",22,33,69,2.8,"59.5%","18.6%","14%",-378,-251,-9.4,6.4,"18.2%",360,"19.4%","18.2%",0.46,0.16
"Graves","Jungle",13,"28.9%","11.1%","40.0%","38%","62%",52,31,54,3.4,"71.6%","15.8%","15%",-111,-177,-4.2,6.9,"21.6%",423,"20.0%","23.0%",0.27,0.34
"Hecarim","Jungle",6,"13.3%","8.9%","22.2%","33%","50%",9,18,34,2.4,"65.2%","19.8%","33%",189,-15,0.7,5.4,"16.6%",259,"14.9%","18.9%",0.33,0.21
"Irelia","Middle",1,"2.2%","0.0%","6.7%","0%","100%",7,6,6,2.2,"61.9%","20.7%","0%",-1106,-841,-23,8,"25.8%",480,"21.0%","24.2%",0.36,0.11
"Irelia","Top",2,"4.4%","0.0%","6.7%","50%","100%",3,5,14,3.4,"53.1%","21.7%","0%",302,-83,14.5,8.8,"26.6%",322,"18.0%","22.2%",0.47,0.13
